"call","qso_date","time_on","band","comment","n3fjp_computername","contest_id","cont","country","dxcc","cqz","class","freq","n3fjp_initials","ituz","mode","n3fjp_modecontest","operator","tx_pwr","pfx","qsl_sent","qsl_rcvd","arrl_sect","station_callsign","n3fjp_spcnum","state","n3fjp_stationid","n3fjp_transmitterid",
"WA7LO","20240622","184534","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","3D","7.27410","DEA","06","SSB","PH","KK7BSG","100","WA7","N","N","OR","W7AVM","OR","OR","MINISTWO","0",
"K7LEC","20240622","184633","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","6A","7.26900","DEA","06","SSB","PH","KK7BSG","100","K7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"AD0JA","20240622","184707","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1B","21.32450","JP","07","SSB","PH","N7JP","100","AD0","N","N","MO","W7AVM","MO","MO","N7JP-DX","0",
"KJ7FGG","20240622","184849","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","3A","7.26010","DEA","06","SSB","PH","KK7BSG","100","KJ7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"W7AIA","20240622","185900","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","4A","7.22375","DEA","06","SSB","PH","KK7BSG","100","W7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"N4SV","20240622","190125","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1E","21.38500","JP","08","SSB","PH","N7JP","100","N4","N","N","IN","W7AVM","IN","IN","N7JP-DX","0",
"AF4PM","20240622","190212","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","05","1B","7.22910","DEA","08","SSB","PH","KK7BSG","100","AF4","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"W7W","20240622","190452","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","3A","7.22500","DEA","06","SSB","PH","KK7BSG","100","W7","N","N","ID","W7AVM","ID","ID","MINISTWO","0",
"W9TRA","20240622","190801","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.075718","CRH","08","FT8","DIG","KK7KAJ","100","W9","N","N","GH","W7AVM","GH","ON","AF9W-Field","0",
"K7FEL","20240622","191024","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","2A","7.20800","DEA","06","SSB","PH","KK7BSG","100","K7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"AC1PK","20240622","191303","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.076699","CRH","08","FT8","DIG","KK7KAJ","100","AC1","N","N","NH","W7AVM","NH","NH","AF9W-Field","0",
"WV5Y","20240622","191503","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076699","CRH","07","FT8","DIG","KK7KAJ","100","WV5","N","N","STX","W7AVM","STX","TX","AF9W-Field","0",
"AG5HC","20240622","191601","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076699","CRH","07","FT8","DIG","KK7KAJ","100","AG5","N","N","AR","W7AVM","AR","AR","AF9W-Field","0",
"K7K","20240622","191642","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","4A","14.01997","ALW","06","CW","CW","K6ZY","100","K7","N","N","AZ","W7AVM","AZ","AZ","Shack-Main-Computer--ACER","0",
"W6RRI","20240622","191701","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","3A","21.076699","CRH","06","FT8","DIG","KK7KAJ","100","W6","N","N","MI","W7AVM","MI","MI","AF9W-Field","0",
"VA7KK","20240622","191752","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","Canada","1","03","1B","7.24490","DEA","02","SSB","PH","KK7BSG","100","VA7","N","N","BC","W7AVM","BC","BC","MINISTWO","0",
"W3AO","20240622","191925","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","13A","21.33000","JP","08","SSB","PH","N7JP","100","W3","N","N","MDC","W7AVM","MDC","MD","N7JP-DX","0",
"AI7AO","20240622","192015","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","2A","7.25160","DEA","06","SSB","PH","KK7BSG","100","AI7","N","N","OR","W7AVM","OR","OR","MINISTWO","0",
"W7BVT","20240622","192151","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","2A","7.24805","DEA","06","SSB","PH","KK7BSG","100","W7","N","N","OR","W7AVM","OR","OR","MINISTWO","0",
"N0SZ","20240622","192301","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","4A","21.076699","CRH","07","FT8","DIG","KK7KAJ","100","N0","N","N","CO","W7AVM","CO","CO","AF9W-Field","0",
"AB4NH","20240622","192432","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.07664","CRH","08","FT8","DIG","KK7KAJ","100","AB4","N","N","TN","W7AVM","TN","TN","AF9W-Field","0",
"WD4MIR","20240622","192602","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.07664","CRH","08","FT8","DIG","KK7KAJ","100","WD4","N","N","KY","W7AVM","KY","KY","AF9W-Field","0",
"K7LED","20240622","192746","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","6A","7.26915","DEA","06","SSB","PH","KK7BSG","100","K7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"W9MID","20240622","192757","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","4A","21.40355","JP","08","SSB","PH","N7JP","100","W9","N","N","IN","W7AVM","IN","IN","N7JP-DX","0",
"W8TB","20240622","192832","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","2D","21.076798","CRH","08","FT8","DIG","KK7KAJ","100","W8","N","N","OH","W7AVM","OH","OH","AF9W-Field","0",
"AI7HO","20240622","192941","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","2A","7.25160","DEA","06","SSB","PH","KK7BSG","100","AI7","N","N","OR","W7AVM","OR","OR","MINISTWO","0",
"N7DZ/7","20240622","193043","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","1B","14.02700","ALW","06","CW","CW","K6ZY","100","N7","N","N","ID","W7AVM","ID","ID","Shack-Main-Computer--ACER","0",
"KE9HS","20240622","193101","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076798","CRH","08","FT8","DIG","KK7KAJ","100","KE9","N","N","IN","W7AVM","IN","IN","AF9W-Field","0",
"KD5C","20240622","193243","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","5A","14.02741","ALW","07","CW","CW","K6ZY","100","KD5","N","N","WTX","W7AVM","WTX","TX","Shack-Main-Computer--ACER","0",
"VE3RL","20240622","193333","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","Canada","1","04","4A","21.076798","CRH","04","FT8","DIG","KK7KAJ","100","VE3","N","N","ONE","W7AVM","ONE","ON","AF9W-Field","0",
"W5MRC","20240622","193430","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","3A","21.23786","JP","07","SSB","PH","N7JP","100","W5","N","N","NTX","W7AVM","NTX","TX","N7JP-DX","0",
"K7POJ","20240622","193455","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1E","7.20410","DEA","06","SSB","PH","KK7BSG","100","K7","N","N","OR","W7AVM","OR","OR","MINISTWO","0",
"KB5A","20240622","193602","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","3A","21.076798","CRH","07","FT8","DIG","KK7KAJ","100","KB5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"W2RDX","20240622","193819","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","05","3A","14.02868","ALW","08","CW","CW","K6ZY","100","W2","N","N","NNY","W7AVM","NNY","NY","Shack-Main-Computer--ACER","0",
"AB0TX","20240622","194031","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","1E","14.03002","ALW","07","CW","CW","K6ZY","100","AB0","N","N","KS","W7AVM","KS","KS","Shack-Main-Computer--ACER","0",
"AB9PN","20240622","194035","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","1A","21.26150","JP","08","SSB","PH","N7JP","100","AB9","N","N","IL","W7AVM","IL","IL","N7JP-DX","0",
"KV7DX","20240622","194126","6M","W7AVM 2024 ARRL-FD","TITAN","ARRL-FD","NA","USA","291","03","1B","","LMDP","06","SSB","PH","N7BCP","100","KV7","N","N","WWA","W7AVM","WWA","WA","TITAN","0",
"NT0C","20240622","194214","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","1D","14.03025","ALW","07","CW","CW","K6ZY","100","NT0","N","N","MO","W7AVM","MO","MO","Shack-Main-Computer--ACER","0",
"W6EK","20240622","194532","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","4A","14.03120","ALW","06","CW","CW","K6ZY","100","W6","N","N","SV","W7AVM","SV","CA","Shack-Main-Computer--ACER","0",
"N0GF","20240622","194650","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","3A","14.03144","ALW","07","CW","CW","K6ZY","100","N0","N","N","ND","W7AVM","ND","ND","Shack-Main-Computer--ACER","0",
"W0JV","20240622","194917","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","2A","21.30403","DM","07","SSB","PH","KK7FZS","100","W0","N","N","IA","W7AVM","IA","IA","N7JP-DX","0",
"W9LDX","20240622","194919","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","1A","14.03518","ALW","08","CW","CW","K6ZY","100","W9","N","N","IN","W7AVM","IN","IN","Shack-Main-Computer--ACER","0",
"WD4SMD","20240622","195102","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","2A","21.076648","CRH","08","FT8","DIG","KK7KAJ","100","WD4","N","N","MS","W7AVM","MS","MS","AF9W-Field","0",
"KA0LDB","20240622","195302","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076648","CRH","07","FT8","DIG","KK7KAJ","100","KA0","N","N","MO","W7AVM","MO","MO","AF9W-Field","0",
"W3DEV","20240622","195307","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","2A","21.32604","DM","08","SSB","PH","KK7FZS","100","W3","N","N","TN","W7AVM","TN","TN","N7JP-DX","0",
"K5LRK","20240622","195310","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","4A","14.03958","ALW","07","CW","CW","K6ZY","100","K5","N","N","NTX","W7AVM","NTX","TX","Shack-Main-Computer--ACER","0",
"W3AO","20240622","195503","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","13A","21.076648","CRH","08","FT8","DIG","KK7KAJ","100","W3","N","N","MDC","W7AVM","MDC","MD","AF9W-Field","0",
"K5LRK","20240622","195704","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","3A","21.076648","CRH","07","FT8","DIG","KK7KAJ","100","K5","N","N","NTX","W7AVM","NTX","TX","AF9W-Field","0",
"W0OJY","20240622","195705","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","3A","14.04630","ALW","07","CW","CW","K6ZY","100","W0","N","N","SD","W7AVM","SD","SD","Shack-Main-Computer--ACER","0",
"KA7RRA","20240622","195850","40M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","03","1D","7.24500","DEA","06","SSB","PH","KK7BSG","100","KA7","N","N","WWA","W7AVM","WWA","WA","MINISTWO","0",
"W5UR","20240622","200045","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","04","2A","14.04698","ALW","07","CW","CW","K6ZY","100","W5","N","N","NM","W7AVM","NM","NM","Shack-Main-Computer--ACER","0",
"AK4NF","20240622","200332","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.076648","CRH","08","FT8","DIG","KK7KAJ","100","AK4","N","N","AL","W7AVM","AL","AL","AF9W-Field","0",
"WR6E","20240622","200849","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","1A","14.15546","TS","06","SSB","PH","KJ7SDU","100","WR6","N","N","SCV","W7AVM","SCV","CA","Shack-Main-Computer--ACER","0",
"KC5ULN","20240622","200920","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","2A","21.076051","CRH","07","FT8","DIG","KK7KAJ","100","KC5","N","N","MS","W7AVM","MS","MS","AF9W-Field","0",
"W3VPJ","20240622","201019","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","3A","21.076051","CRH","08","FT8","DIG","KK7KAJ","100","W3","N","N","EPA","W7AVM","EPA","PA","AF9W-Field","0",
"WA2VAM","20240622","201551","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.076051","CRH","08","FT8","DIG","KK7KAJ","100","WA2","N","N","WNY","W7AVM","WNY","NY","AF9W-Field","0",
"AJ0GM","20240622","202023","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1E","21.076051","DEA","07","FT8","DIG","KK7BSG","100","AJ0","N","N","SD","W7AVM","SD","SD","AF9W-Field","0",
"W9SU","20240622","202331","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","4A","21.03936","TS","08","CW","CW","N7WI","100","W9","N","N","IN","W7AVM","IN","IN","N7JP-DX","0",
"K4HAL","20240622","202546","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076153","DEA","08","FT8","DIG","KK7BSG","100","K4","N","N","AL","W7AVM","AL","AL","AF9W-Field","0",
"KA3SDL","20240622","202634","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","1D","21.04292","TS","08","CW","CW","N7WI","100","KA3","N","N","MDC","W7AVM","MDC","MD","N7JP-DX","0",
"W8VTD","20240622","203115","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","6A","21.076153","DEA","08","FT8","DIG","KK7BSG","100","W8","N","N","OH","W7AVM","OH","OH","AF9W-Field","0",
"K8ER","20240622","203235","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","4A","21.06725","TS","08","CW","CW","N7WI","100","K8","N","N","OH","W7AVM","OH","OH","N7JP-DX","0",
"W5DD","20240622","203417","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","1D","21.076739","DEA","07","FT8","DIG","KK7BSG","100","W5","N","N","STX","W7AVM","STX","TX","AF9W-Field","0",
"WY7HR","20240622","203554","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","03","6A","21.076739","DEA","06","FT8","DIG","KK7BSG","100","WY7","N","N","WY","W7AVM","WY","WY","AF9W-Field","0",
"N1TN","20240622","203917","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","2A","21.06284","TS","08","CW","CW","N7WI","100","N1","N","N","ME","W7AVM","ME","ME","N7JP-DX","0",
"W1WDT","20240622","204024","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","4F","21.076798","DEA","08","FT8","DIG","KK7BSG","100","W1","N","N","CT","W7AVM","CT","CT","AF9W-Field","0",
"NW8S","20240622","204118","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","04","5A","21.076798","DEA","08","FT8","DIG","KK7BSG","100","NW8","N","N","OH","W7AVM","OH","OH","AF9W-Field","0",
"KY4X","20240622","204142","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","3A","21.06220","TS","08","CW","CW","N7WI","100","KY4","N","N","KY","W7AVM","KY","KY","N7JP-DX","0",
"N3RDV","20240622","204316","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.076798","DEA","08","FT8","DIG","KK7BSG","100","N3","N","N","WPA","W7AVM","WPA","PA","AF9W-Field","0",
"K2GAV","20240622","204446","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","1D","21.076798","DEA","08","FT8","DIG","KK7BSG","100","K2","N","N","NC","W7AVM","NC","NC","AF9W-Field","0",
"N7V","20240622","204820","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","3A","14.25500","TS","06","SSB","PH","KJ7SDU","100","N7","N","N","NV","W7AVM","NV","NV","Shack-Main-Computer--ACER","0",
"WA1S","20240622","204837","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","2D","21.05158","TS","08","CW","CW","N7WI","100","WA1","N","N","NFL","W7AVM","NFL","FL","N7JP-DX","0",
"ND6X","20240622","205158","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","03","4A","21.04420","TS","06","CW","CW","N7WI","100","ND6","N","N","NTX","W7AVM","NTX","TX","N7JP-DX","0",
"N6R","20240622","205225","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","7A","14.25595","TS","06","SSB","PH","KJ7SDU","100","N6","N","N","SB","W7AVM","SB","CA","Shack-Main-Computer--ACER","0",
"W6WU","20240622","205318","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","3A","21.076802","DEA","08","FT8","DIG","KK7BSG","100","W6","N","N","MDC","W7AVM","MDC","MD","AF9W-Field","0",
"K3SMT","20240622","205344","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","05","4A","21.03960","TS","08","CW","CW","N7WI","100","K3","N","N","WPA","W7AVM","WPA","PA","N7JP-DX","0",
"W6KH","20240622","205437","20M","W7AVM 2024 ARRL-FD","Shack-Main-Computer--ACER","ARRL-FD","NA","USA","291","03","1D","14.26105","TS","06","SSB","PH","KJ7SDU","100","W6","N","N","SD","W7AVM","SD","SD","Shack-Main-Computer--ACER","0",
"K0AV","20240622","205447","20M","W7AVM 2024 ARRL-FD","MINISTWO","ARRL-FD","NA","USA","291","04","1D","14.00328","WM","07","CW","CW","NB6M","100","K0","N","N","CO","W7AVM","CO","CO","MINISTWO","0",
"AJ4A","20240622","205604","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","6A","21.03640","TS","08","CW","CW","N7WI","100","AJ4","N","N","KY","W7AVM","KY","KY","N7JP-DX","0",
"W8HN","20240622","205735","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","5A","21.03520","TS","08","CW","CW","N7WI","100","W8","N","N","OH","W7AVM","OH","OH","N7JP-DX","0",
"K4BFT","20240622","205917","15M","W7AVM 2024 ARRL-FD","N7JP-DX","ARRL-FD","NA","USA","291","04","4A","21.03210","TS","08","CW","CW","N7WI","100","K4","N","N","AL","W7AVM","AL","AL","N7JP-DX","0",
"K2ZV","20240622","205945","15M","W7AVM 2024 ARRL-FD","AF9W-Field","ARRL-FD","NA","USA","291","05","2F","21.076802","DEA","08","FT8","DIG","KK7BSG","100","K2","N","N","NNJ","W7AVM","NNJ","NJ","AF9W-Field","0",
